gender,first_generation,underrepresented,avg_sleep_hours,daytime_sleep_minutes,sleep_midpoint_minutes,bedtime_variability,nights_tracked_fraction,prior_gpa,term_gpa
Female,1.0,0.0,9.79,64.5,380.3,0.4222,0.214,3.321,3.833
Female,0.0,0.0,7.46,28.2,372.3,0.1173,0.929,3.767,3.5
Female,1.0,0.0,6.78,39.4,358.9,0.1382,0.929,3.427,3.477
Female,0.0,0.0,7.61,61.6,364.8,0.553,0.893,3.6,3.128
Male,0.0,0.0,6.03,49.3,289.9,0.1774,0.75,3.923,4.0
Male,0.0,0.0,6.18,26.1,390.2,0.0996,0.857,3.555,3.569
Male,0.0,0.0,6.75,103.1,406.1,1.1184,0.893,3.593,3.533
Female,0.0,0.0,8.64,30.5,342.9,0.0448,1.0,3.533,3.9
Female,0.0,0.0,8.23,31.8,260.2,0.0649,1.0,3.746,3.9
Female,1.0,0.0,6.85,27.3,349.5,0.0927,0.536,3.266,3.1
Female,0.0,0.0,4.57,152.6,315.6,0.1125,1.0,2.883,2.75
Female,0.0,0.0,8.24,54.1,305.2,0.1287,0.929,3.152,3.1
Female,0.0,0.0,7.41,35.7,314.7,0.0687,1.0,2.915,2.933
Female,0.0,0.0,6.37,54.9,477.3,0.0624,1.0,3.452,3.8
Female,0.0,0.0,7.79,29.8,392.5,0.141,0.571,2.917,1.7
Male,0.0,0.0,7.32,48.6,326.7,0.0693,1.0,3.745,3.838
Female,0.0,0.0,7.31,41.8,405.6,0.6026,0.964,3.336,3.933
Female,0.0,0.0,7.66,14.8,281.1,0.0833,0.964,4.0,4.0
Female,1.0,0.0,6.75,39.6,363.2,0.0622,1.0,3.18,3.5
Female,1.0,0.0,6.61,75.6,410.8,0.1101,1.0,2.567,2.992
Female,1.0,0.0,6.48,24.3,300.5,0.2066,0.536,3.741,3.479
Female,0.0,0.0,7.35,36.5,345.0,0.3075,1.0,3.532,3.6
Female,1.0,0.0,7.23,8.6,343.3,0.0482,1.0,3.7,3.193
Male,0.0,0.0,7.22,72.0,417.5,0.1477,0.714,3.883,3.9
Male,0.0,0.0,6.19,25.8,493.1,0.0544,1.0,3.467,3.608
Female,1.0,0.0,7.09,26.0,334.1,0.0958,1.0,3.8,3.95
Female,1.0,0.0,6.58,13.1,362.7,0.0411,1.0,3.7,3.867
Female,1.0,1.0,7.82,31.3,473.9,0.397,0.857,3.126,2.729
Male,0.0,0.0,5.82,53.1,330.8,0.127,0.964,3.96,3.767
Female,0.0,0.0,5.48,88.1,497.3,0.4576,0.929,3.652,3.344
Male,0.0,0.0,5.62,85.0,437.8,0.1269,1.0,3.867,3.567
Male,1.0,0.0,5.48,50.9,389.2,0.0317,0.964,3.627,3.5
Female,1.0,0.0,6.88,68.6,323.8,0.0773,0.964,3.6,3.436
Female,0.0,1.0,6.04,64.0,508.5,1.7427,0.286,3.758,3.833
Male,0.0,0.0,6.66,76.4,573.6,1.4693,0.75,3.083,2.478
Female,0.0,1.0,4.26,46.4,561.0,2.1725,0.964,3.346,2.5
Male,0.0,0.0,7.31,42.7,370.6,0.0595,0.857,3.2,3.038
Female,0.0,0.0,8.52,37.9,320.5,0.0606,0.964,3.583,3.55
Male,1.0,1.0,6.47,69.3,372.9,0.2107,1.0,3.629,3.467
Female,0.0,1.0,7.96,23.6,331.3,0.0454,0.679,3.868,3.65
Female,0.0,1.0,7.04,54.6,640.2,3.36,0.786,3.78,3.267
Female,0.0,0.0,7.37,34.8,404.0,0.4396,0.714,3.817,3.933
Female,0.0,0.0,6.71,18.8,342.3,0.1049,0.964,3.913,3.85
Female,0.0,1.0,7.17,24.8,317.8,0.0383,1.0,3.529,3.654
Female,0.0,1.0,5.47,17.1,430.9,1.7592,0.429,2.939,1.7
Female,0.0,0.0,6.97,18.2,325.2,0.1756,0.643,4.0,3.973
Female,0.0,0.0,7.2,41.6,478.1,0.0808,0.964,3.7,3.623
Female,0.0,0.0,8.12,36.9,305.9,0.0799,1.0,3.82,3.669
Male,0.0,0.0,7.24,41.7,351.6,0.0446,0.964,3.686,3.336
Female,1.0,0.0,6.81,34.5,397.2,0.0614,0.964,3.5,3.467
Female,1.0,0.0,7.17,43.3,436.7,0.0512,0.964,3.65,3.528
Female,1.0,0.0,6.64,21.7,343.8,0.0242,1.0,3.797,3.667
Female,1.0,0.0,6.29,86.3,423.5,0.2358,1.0,3.784,3.754
Female,1.0,0.0,6.57,98.3,324.1,0.0872,1.0,3.488,3.647
Female,0.0,0.0,6.81,18.9,297.4,0.0746,1.0,3.75,3.875
Male,0.0,0.0,7.27,64.2,394.1,0.7865,0.929,3.541,3.233
Female,1.0,0.0,6.65,79.3,340.4,0.2006,0.857,3.375,2.269
Male,1.0,1.0,7.04,11.8,285.5,0.0675,0.75,3.434,3.483
Female,0.0,0.0,6.16,67.6,358.4,0.1087,1.0,3.819,3.753
Female,0.0,0.0,8.1,27.4,314.3,0.1555,1.0,3.077,3.231
Male,0.0,0.0,8.28,19.1,300.0,0.0763,0.929,3.904,3.9
Male,0.0,1.0,6.5,25.6,355.7,0.0621,0.964,3.693,3.533
Female,1.0,0.0,6.79,99.1,558.7,0.8892,1.0,3.371,3.967
Male,0.0,0.0,6.67,47.5,385.4,0.1293,0.929,3.591,3.367
Female,0.0,1.0,8.29,50.1,507.9,0.6073,0.5,2.603,3.9
Female,0.0,0.0,6.39,6.6,327.1,0.1296,0.857,3.914,4.0
Male,1.0,1.0,6.76,34.7,335.0,0.2723,0.929,3.525,3.4
Female,0.0,1.0,4.86,44.3,605.9,2.0271,0.393,3.46,3.567
Female,1.0,0.0,8.32,24.9,452.9,0.047,0.929,3.25,3.077
Female,0.0,0.0,6.18,51.0,331.0,0.1069,0.929,3.315,3.721
Male,0.0,0.0,6.62,99.5,487.6,0.2003,0.857,3.337,3.538
Female,0.0,1.0,7.58,46.2,450.2,0.5477,0.607,3.28,3.5
Female,0.0,1.0,5.93,59.2,409.3,0.1319,1.0,3.38,3.5
Female,0.0,0.0,7.06,90.0,320.9,0.9428,0.536,3.675,3.538
Female,1.0,0.0,6.51,63.7,366.2,1.2826,1.0,3.352,2.691
Female,0.0,0.0,6.45,17.8,299.0,0.1865,0.821,3.44,3.5
Male,0.0,0.0,6.8,26.7,400.6,0.0586,1.0,2.611,3.464
Female,0.0,0.0,8.04,44.2,416.3,0.475,0.357,3.326,3.033
Female,0.0,1.0,6.98,48.7,368.9,0.6438,0.357,3.111,3.2
Female,1.0,0.0,6.13,95.9,499.7,0.8007,0.929,3.279,3.767
Female,0.0,0.0,6.81,90.4,320.4,0.2523,0.893,3.88,3.962
Female,0.0,1.0,5.99,39.2,345.7,0.1842,0.929,3.622,3.592
Female,0.0,0.0,8.53,29.7,264.5,0.0416,1.0,3.917,3.9
Female,1.0,1.0,7.17,71.1,319.6,0.0891,1.0,2.332,3.446
Female,0.0,0.0,7.63,27.2,363.5,0.05,1.0,3.7,3.933
