gender,first_generation,underrepresented,avg_sleep_hours,daytime_sleep_minutes,sleep_midpoint_minutes,bedtime_variability,nights_tracked_fraction,prior_gpa,term_gpa
Female,1.0,0.0,6.91,70.1,426.8,0.9403,0.929,3.427,3.37
Male,0.0,0.0,7.15,45.6,405.1,0.1437,0.929,3.714,3.19
Female,0.0,1.0,6.53,45.6,368.1,0.2938,0.964,2.799,2.86
Female,0.0,0.0,6.65,51.7,446.2,0.0936,1.0,3.681,3.17
Male,1.0,1.0,8.49,33.5,405.2,0.0515,1.0,3.156,3.47
Male,0.0,0.0,7.42,25.2,382.6,0.1686,0.929,3.535,2.97
Female,0.0,1.0,6.79,49.1,415.0,0.0486,0.929,3.601,3.63
Female,0.0,1.0,7.27,24.1,433.8,0.1573,0.786,3.948,3.91
Male,0.0,0.0,6.47,41.1,321.6,0.0574,0.357,3.162,3.71
Female,0.0,0.0,6.72,35.5,427.4,0.0521,0.964,3.364,3.01
Female,0.0,0.0,7.26,40.4,427.1,0.1286,0.929,3.625,3.49
Female,0.0,0.0,7.13,57.0,309.6,0.0596,0.933,3.111,3.333
Male,0.0,0.0,6.19,29.8,409.0,0.1929,0.967,3.905,3.952
Male,0.0,0.0,6.7,76.0,454.4,0.0861,1.0,3.278,3.611
Female,0.0,0.0,7.12,48.3,337.9,0.0764,1.0,3.778,3.722
Male,0.0,1.0,7.34,30.8,383.4,0.1366,0.933,3.333,3.334
Male,0.0,0.0,5.1,49.3,460.1,0.2224,0.867,3.667,3.778
Female,1.0,0.0,7.61,51.0,385.4,0.1318,1.0,3.333,3.667
Female,0.0,0.0,5.85,54.4,362.0,0.1596,0.667,3.667,3.556
Male,1.0,1.0,7.16,59.7,425.3,0.2094,0.933,3.167,3.5
Female,0.0,1.0,6.88,21.6,353.0,0.0622,1.0,3.762,3.714
Male,0.0,0.0,6.92,36.1,417.1,0.1272,0.833,3.833,3.833
Female,1.0,0.0,7.0,57.0,310.9,0.0523,1.0,2.933,3.278
Male,0.0,0.0,4.65,122.8,471.6,0.7389,0.967,3.778,3.944
Male,0.0,1.0,6.36,64.9,372.6,0.1164,1.0,3.556,3.733
Female,0.0,0.0,7.09,11.7,396.2,0.1993,0.967,3.944,3.944
Male,0.0,0.0,7.68,72.2,448.1,0.0809,0.967,3.611,3.944
Male,0.0,0.0,5.96,127.9,394.4,0.178,1.0,3.944,4.0
Male,0.0,0.0,7.13,34.5,337.1,0.1616,1.0,3.667,3.917
Male,0.0,0.0,6.4,18.4,402.6,0.0239,0.867,3.778,3.889
Male,0.0,0.0,6.56,68.4,346.3,0.1196,1.0,3.889,3.944
Male,0.0,0.0,6.76,97.4,463.2,0.1893,1.0,3.333,2.833
Female,0.0,0.0,7.48,18.7,305.3,0.063,0.967,3.944,3.905
Female,0.0,0.0,6.2,40.1,457.9,0.1862,0.833,3.134,3.444
Male,0.0,0.0,6.66,38.7,404.8,0.1115,0.967,4.0,3.889
Male,0.0,0.0,6.3,13.8,383.8,0.1192,1.0,3.944,3.889
Male,0.0,0.0,7.1,35.9,351.1,0.0552,0.967,3.944,3.889
Female,0.0,0.0,5.07,49.2,544.1,1.0208,0.8,3.905,3.476
Female,0.0,0.0,6.37,50.7,405.1,0.0963,1.0,3.444,3.778
Female,0.0,0.0,6.63,25.6,318.3,0.0238,1.0,3.5,3.667
Female,0.0,0.0,6.24,44.8,394.1,0.2159,0.633,3.067,3.467
Female,0.0,0.0,5.54,39.8,465.2,0.7882,0.8,3.833,3.667
Male,0.0,0.0,6.89,54.4,341.4,0.1354,0.967,3.889,3.722
Male,0.0,1.0,6.17,18.6,402.7,0.0867,0.967,3.619,3.81
Male,0.0,0.0,6.56,29.9,361.3,0.0444,0.967,3.111,3.5
Female,0.0,0.0,5.4,64.4,482.3,0.9094,0.7,3.389,3.733
Female,0.0,0.0,6.86,7.2,349.7,0.0116,0.933,3.944,3.889
Female,0.0,1.0,5.89,82.1,353.0,0.0659,1.0,3.4,3.056
Female,0.0,1.0,6.99,86.5,497.3,1.9035,0.567,3.428,3.533
Male,0.0,0.0,6.88,54.2,335.9,0.0693,0.967,3.556,3.444
Female,0.0,0.0,6.25,79.1,340.2,0.2345,0.833,3.5,3.556
Female,0.0,0.0,6.85,37.8,281.7,0.1272,0.6,4.0,3.952
Female,0.0,1.0,6.74,33.6,340.6,0.1258,0.967,4.0,3.833
Male,0.0,0.0,6.19,37.8,437.4,0.3616,0.867,3.722,3.167
Male,0.0,0.0,6.6,92.7,424.8,0.2255,0.967,3.389,3.5
Male,0.0,1.0,6.15,49.0,322.0,0.1166,0.867,3.444,3.667
Male,0.0,0.0,6.89,29.4,331.6,0.0523,0.967,3.571,3.778
Male,0.0,0.0,7.31,22.9,376.3,0.049,0.833,3.556,3.611
Female,0.0,0.0,6.49,32.3,350.2,0.0761,1.0,3.714,3.667
Male,0.0,0.0,8.06,26.3,400.4,0.0796,0.8,3.714,3.867
Female,0.0,0.0,6.79,26.6,372.9,0.6276,0.8,3.444,3.722
Female,0.0,0.0,6.39,25.3,354.7,0.0937,0.733,3.833,3.833
Female,0.0,0.0,5.69,22.6,394.4,0.1377,0.967,3.556,2.944
Female,0.0,0.0,6.32,28.2,375.0,0.1784,1.0,3.889,3.667
Male,0.0,0.0,5.55,75.4,373.1,0.1783,0.9,3.778,3.611
Female,0.0,0.0,7.04,6.5,339.4,0.0225,0.933,3.762,3.714
Female,0.0,0.0,5.99,40.2,338.2,0.0336,0.933,3.556,3.667
Female,0.0,0.0,5.88,34.4,380.5,0.9192,0.9,3.889,3.889
Female,0.0,0.0,5.3,49.4,372.9,0.2617,0.233,3.944,3.834
Male,0.0,1.0,6.07,25.2,381.4,0.1407,0.967,3.333,3.778
Female,0.0,1.0,6.4,16.1,374.2,0.0833,1.0,3.81,3.81
Female,0.0,1.0,6.28,27.2,368.8,0.5679,0.867,3.667,3.952
Male,0.0,0.0,6.64,47.3,371.8,0.0575,0.9,4.0,4.0
Male,0.0,0.0,6.26,33.5,376.5,0.143,0.633,3.667,3.875
Female,0.0,0.0,6.51,48.7,428.8,0.5021,0.7,3.889,3.667
Female,0.0,0.0,6.79,55.8,335.9,0.1226,0.933,3.762,3.833
Female,0.0,0.0,7.29,47.4,367.4,0.0465,0.9,3.619,3.611
Female,0.0,0.0,7.71,20.3,344.0,0.0395,0.9,3.572,3.619
Female,0.0,0.0,7.75,35.4,422.7,0.0924,1.0,3.778,3.889
Female,0.0,0.0,5.81,47.1,346.7,0.0847,0.967,3.722,3.778
Male,0.0,0.0,6.51,31.6,406.6,0.1584,0.8,3.166,3.611
Female,0.0,1.0,5.86,120.9,403.2,0.08,0.967,3.611,3.5
Male,0.0,0.0,6.92,48.9,390.2,0.129,0.867,3.833,4.0
Female,0.0,0.0,5.68,26.3,446.1,0.2968,0.7,3.714,3.762
Female,0.0,1.0,5.28,26.8,437.2,2.4655,0.467,3.667,3.778
Male,1.0,0.0,4.57,30.5,455.8,0.266,0.8,2.8,3.467
Male,0.0,1.0,7.17,44.8,469.9,0.0877,1.0,3.733,3.611
Female,0.0,1.0,7.45,77.3,320.4,0.0394,0.967,3.857,4.0
Female,0.0,1.0,6.7,12.9,367.3,0.2719,0.933,3.278,3.611
Male,0.0,1.0,7.42,66.6,410.6,0.0402,1.0,3.722,3.733
Male,0.0,0.0,8.02,23.6,386.9,0.1663,0.933,3.389,3.556
Male,0.0,0.0,7.29,50.5,327.4,0.0842,1.0,3.778,3.834
Female,0.0,0.0,7.75,34.0,333.2,0.0503,1.0,3.778,3.722
Female,0.0,0.0,7.36,42.4,372.7,0.0753,0.967,3.944,3.917
Male,0.0,0.0,6.81,54.0,443.8,0.0927,0.967,3.952,3.905
Female,0.0,1.0,5.51,41.8,491.3,1.1291,0.9,3.292,3.333
Female,0.0,0.0,5.62,16.2,323.1,0.0672,0.933,3.611,3.857
Female,0.0,0.0,6.74,110.5,401.4,0.2685,0.967,3.278,3.556
Male,0.0,0.0,5.8,34.1,322.5,0.0607,1.0,3.5,3.444
Male,0.0,0.0,5.19,27.4,376.4,0.1697,0.933,3.524,3.238
Male,0.0,0.0,6.8,20.2,371.7,0.0518,0.967,3.944,3.833
Male,0.0,1.0,6.64,49.1,317.0,0.0721,1.0,3.889,4.0
Male,0.0,0.0,5.98,32.1,369.1,0.1036,0.633,3.667,3.444
Male,0.0,1.0,6.75,34.0,504.5,1.1609,0.8,3.533,3.625
Male,0.0,0.0,7.76,15.7,391.3,0.0504,1.0,3.889,3.889
Female,0.0,0.0,6.23,40.9,426.2,2.0198,0.533,3.667,3.667
Male,0.0,0.0,5.28,91.3,386.4,0.2501,1.0,3.222,3.0
Male,0.0,0.0,4.98,51.7,435.5,0.1043,0.9,3.444,3.556
Male,0.0,0.0,6.28,33.4,364.7,0.1924,0.9,3.667,3.556
Female,0.0,0.0,8.09,29.7,275.0,0.0102,1.0,3.889,3.667
Female,0.0,0.0,7.79,20.5,343.4,0.0446,0.833,3.778,3.944
Male,1.0,0.0,5.95,45.8,414.4,0.0834,1.0,3.333,3.267
Male,0.0,1.0,6.92,38.0,287.1,0.0344,1.0,3.952,3.905
Male,0.0,0.0,5.58,19.5,365.9,0.0961,0.567,3.571,3.5
Female,0.0,0.0,5.01,133.2,518.8,1.1035,0.7,3.111,3.166
Female,0.0,0.0,7.91,13.6,326.1,0.023,1.0,3.334,3.2
Male,0.0,0.0,7.12,24.2,398.4,0.0612,1.0,3.944,3.889
Female,0.0,0.0,6.52,63.3,352.8,0.318,0.967,3.5,3.857
Female,0.0,0.0,5.11,19.6,432.7,0.1743,0.933,3.722,3.556
Male,0.0,0.0,5.67,35.6,404.1,0.6452,0.9,3.833,3.905
Female,1.0,0.0,6.4,52.3,369.5,0.0792,1.0,3.722,3.722
Male,0.0,0.0,5.96,21.4,355.1,0.1623,0.7,3.778,3.889
Male,0.0,0.0,6.11,20.1,408.2,0.0991,1.0,3.833,3.667
Female,0.0,1.0,4.54,12.6,390.1,0.1503,0.967,3.533,3.167
Female,0.0,1.0,7.06,31.9,324.4,0.0807,1.0,3.834,3.944
Female,0.0,1.0,7.54,16.2,369.0,0.0467,1.0,3.833,3.556
Female,0.0,0.0,7.58,14.5,408.5,0.0392,1.0,3.556,3.556
Female,0.0,0.0,6.38,15.6,359.0,0.4108,0.733,3.762,3.944
Female,0.0,0.0,6.25,58.6,342.6,0.1025,0.967,3.857,4.0
Female,0.0,0.0,5.46,42.0,476.8,0.1321,1.0,3.278,3.222
Male,0.0,0.0,5.82,43.4,393.1,0.1978,0.867,3.611,3.222
Male,0.0,0.0,6.13,20.4,384.6,0.0924,0.833,3.778,3.8
Female,0.0,0.0,7.02,15.2,377.5,0.0695,1.0,3.722,3.944
Male,0.0,0.0,5.54,40.3,377.1,0.0316,0.967,3.944,3.944
Male,0.0,0.0,5.42,34.7,477.8,0.4863,0.9,3.278,2.722
Female,0.0,0.0,6.99,35.0,393.7,0.8873,0.833,3.762,3.952
Male,0.0,0.0,4.34,177.5,390.7,0.1606,0.933,3.857,3.944
Male,0.0,0.0,7.0,58.0,425.7,0.2333,0.967,3.778,4.0
Male,0.0,0.0,7.4,54.9,338.6,0.0447,1.0,4.0,4.0
Male,0.0,0.0,6.65,62.7,437.4,0.1224,0.633,4.0,4.0
Male,0.0,1.0,5.71,99.8,544.7,0.4888,0.7,3.5,3.133
Male,1.0,0.0,5.46,39.7,362.2,0.1613,0.9,3.667,3.81
Female,0.0,0.0,6.52,29.0,343.8,0.1191,0.867,3.381,3.714
Male,0.0,0.0,6.99,19.8,328.4,0.0616,1.0,3.889,3.667
Female,0.0,0.0,5.58,43.7,332.2,0.0323,0.933,3.444,3.556
Male,1.0,0.0,4.6,40.8,382.1,0.1003,0.867,3.056,3.333
Male,0.0,0.0,6.0,120.4,327.4,0.2648,0.967,3.8,3.667
Male,0.0,1.0,6.05,17.6,438.4,0.0632,1.0,3.834,3.944
Male,0.0,0.0,5.86,65.5,394.5,0.1034,1.0,3.111,3.167
Male,0.0,0.0,7.81,49.0,410.5,0.0157,0.933,3.667,3.667
Male,0.0,1.0,6.13,84.1,398.9,0.1053,0.967,3.889,3.611
Female,0.0,0.0,5.3,49.5,580.8,2.3167,0.533,3.611,3.444
Male,0.0,0.0,6.01,65.4,389.4,0.2381,0.833,3.389,3.389
Female,0.0,0.0,7.13,34.5,314.5,0.1279,0.967,3.834,3.722
Female,0.0,0.0,5.41,41.6,344.8,0.2854,0.9,3.334,3.222
Male,0.0,1.0,6.39,44.3,407.9,0.0913,0.967,3.722,3.611
Female,1.0,1.0,6.54,54.6,416.5,0.1301,1.0,3.61,3.56
Female,0.0,0.0,6.29,49.4,439.3,0.1425,0.793,3.21,3.3
Female,0.0,0.0,7.05,8.9,415.7,0.069,1.0,3.09,2.6
Male,0.0,0.0,6.54,23.3,387.1,0.1505,1.0,4.0,4.0
Male,0.0,0.0,6.49,23.8,441.0,1.179,0.897,2.82,3.2
Female,0.0,1.0,7.76,15.3,315.3,0.0751,1.0,2.7,1.97
Male,0.0,0.0,7.43,22.3,316.5,0.1511,0.966,3.8,4.0
Male,0.0,0.0,7.33,13.4,321.7,0.0206,1.0,3.46,4.0
Male,0.0,1.0,7.42,30.5,347.4,0.0751,0.793,4.0,4.0
Male,1.0,0.0,6.11,10.2,431.7,0.2469,1.0,3.0,3.2
Female,0.0,0.0,6.86,18.7,373.1,0.0901,1.0,4.0,3.4
Female,0.0,0.0,5.99,6.1,330.3,0.0608,1.0,4.0,3.44
Female,0.0,0.0,7.97,22.0,370.3,0.6467,0.897,3.48,3.83
Male,0.0,0.0,7.17,22.3,497.0,0.3234,0.414,3.79,3.41
Female,0.0,0.0,6.9,14.0,432.5,0.0793,1.0,3.23,3.49
Female,0.0,0.0,5.15,85.5,334.8,0.085,1.0,3.53,2.55
Male,0.0,0.0,6.22,23.7,468.0,0.0964,1.0,4.0,3.81
Male,0.0,0.0,7.19,17.8,352.4,0.1047,1.0,3.05,2.73
Female,0.0,0.0,6.78,39.0,358.1,0.0874,0.862,3.72,3.06
Male,0.0,0.0,6.58,67.5,339.3,0.3247,0.517,4.0,4.0
Female,0.0,0.0,5.41,21.7,371.3,0.4229,0.931,2.0,2.8
Male,0.0,0.0,6.71,10.5,365.2,0.1672,0.793,2.49,2.77
Male,0.0,0.0,6.64,55.7,347.0,0.1735,0.379,3.98,4.0
Female,1.0,0.0,7.33,12.2,366.1,0.0398,1.0,3.1,3.3
Male,1.0,1.0,7.14,21.3,323.8,0.0717,0.931,2.44,3.07
Female,0.0,1.0,6.53,13.1,364.5,0.1417,1.0,3.66,2.6
Female,0.0,0.0,6.2,25.0,383.2,0.0624,0.966,4.0,3.82
Male,0.0,1.0,7.16,52.7,437.8,0.2523,1.0,3.52,3.46
Male,0.0,0.0,6.47,31.8,421.2,0.0163,0.966,3.26,3.04
Male,0.0,1.0,5.95,47.1,446.7,0.0647,1.0,2.0,1.5
Female,0.0,0.0,7.43,14.3,322.1,0.1521,0.897,4.0,4.0
Female,0.0,0.0,6.77,5.9,473.0,0.0575,1.0,3.23,3.59
Male,0.0,0.0,5.8,22.1,430.4,0.4935,0.828,2.6,3.08
Male,0.0,0.0,6.91,17.8,496.2,0.0785,0.862,3.77,3.25
Male,0.0,0.0,7.39,23.8,437.9,0.0528,1.0,2.91,2.61
Female,0.0,0.0,6.67,10.6,344.2,0.0362,0.931,2.93,3.06
Female,0.0,0.0,7.06,10.5,368.8,0.1302,0.655,3.21,4.0
Male,0.0,0.0,5.12,17.8,295.5,0.2136,0.897,3.4,3.6
Female,0.0,0.0,6.97,32.8,381.1,0.1166,0.862,2.5,2.33
Male,0.0,0.0,6.2,42.9,451.0,2.043,0.379,3.82,3.78
Female,0.0,0.0,7.46,19.0,448.3,0.0903,1.0,3.07,2.43
Female,0.0,0.0,9.57,15.8,353.8,0.0314,1.0,3.49,3.6
Female,0.0,0.0,6.8,12.1,328.0,0.093,0.897,4.0,4.0
Male,0.0,0.0,7.29,24.6,473.0,0.0348,1.0,3.41,3.19
Female,0.0,0.0,6.62,22.4,353.6,0.2095,0.862,3.2,3.36
Female,0.0,0.0,7.2,24.2,458.7,0.1167,0.862,3.0,3.38
Female,0.0,0.0,6.32,14.2,423.4,0.2073,1.0,4.0,3.56
Male,0.0,0.0,6.26,28.0,400.6,0.272,0.862,3.79,3.17
Female,0.0,0.0,6.3,23.8,395.7,0.0945,0.828,4.0,4.0
Male,0.0,0.0,6.18,27.8,451.7,0.1101,0.724,3.76,3.38
Male,0.0,0.0,7.61,21.0,316.8,0.1069,0.966,3.79,3.18
Male,0.0,0.0,5.6,20.7,494.1,0.7776,0.793,1.57,2.67
Female,0.0,1.0,6.19,106.4,321.6,0.1528,1.0,3.3,2.94
Female,0.0,0.0,7.73,30.6,366.0,0.4366,0.793,3.71,3.77
Female,0.0,1.0,7.4,22.1,318.4,0.2119,0.966,3.71,3.79
Female,0.0,1.0,5.01,61.3,465.4,0.1732,1.0,1.95,3.0
Male,0.0,1.0,6.56,66.4,349.2,1.8734,0.655,2.15,2.76
Male,0.0,1.0,6.37,37.1,539.6,0.4276,0.966,2.65,3.53
Female,0.0,0.0,5.74,15.0,560.9,1.5293,0.793,3.57,3.07
Female,0.0,0.0,4.87,9.4,424.0,0.235,1.0,3.77,2.78
Female,0.0,0.0,7.96,23.2,346.1,0.2401,0.966,4.0,4.0
Female,0.0,0.0,7.08,11.7,346.8,0.0307,1.0,3.79,4.0
Female,1.0,0.0,6.0,34.1,372.1,0.1411,1.0,3.16,3.56
Female,0.0,0.0,7.37,9.7,424.3,0.1024,0.966,4.0,4.0
Female,0.0,0.0,6.37,2.3,463.6,0.0648,0.897,3.82,3.76
Female,0.0,0.0,6.12,16.3,405.8,0.1612,0.931,3.5,3.4
Female,0.0,0.0,7.02,46.5,687.5,1.7758,0.483,3.2,1.69
Male,0.0,0.0,5.76,21.7,414.1,0.0775,0.966,4.0,4.0
Female,0.0,0.0,6.13,28.4,560.1,0.2925,0.828,3.0,3.75
Female,0.0,0.0,6.05,18.1,496.6,0.2625,0.586,2.62,2.46
Male,1.0,1.0,5.06,29.5,545.6,0.9619,0.897,1.91,2.98
Male,0.0,0.0,6.52,30.8,410.8,0.1901,0.862,3.29,3.51
Male,0.0,1.0,6.17,20.2,404.9,0.055,1.0,3.8,3.22
Female,0.0,0.0,6.56,39.9,376.1,0.2428,0.793,3.81,3.6
Male,0.0,0.0,6.89,17.7,420.4,0.045,1.0,3.49,3.54
Male,0.0,1.0,6.1,28.2,501.1,0.2924,0.828,3.72,3.81
Male,0.0,0.0,6.57,17.1,539.5,0.322,0.966,3.61,3.38
Female,0.0,0.0,7.39,13.8,367.2,0.0409,1.0,3.8,4.0
Female,0.0,0.0,5.81,20.5,434.7,0.6755,0.931,3.4,3.19
Male,0.0,0.0,6.88,14.8,361.1,0.1295,0.966,3.76,3.55
Male,0.0,0.0,5.71,22.0,468.6,0.1988,0.759,3.76,3.8
Male,0.0,0.0,6.86,26.1,406.3,0.3402,0.759,2.91,3.4
Female,0.0,0.0,7.04,17.0,414.8,0.1296,0.931,3.86,3.28
Female,0.0,1.0,6.01,33.9,419.7,0.1657,1.0,3.07,2.4
Female,1.0,0.0,5.64,11.3,362.8,0.1558,0.828,3.43,3.21
Female,0.0,0.0,4.45,162.7,514.0,0.7721,0.414,2.98,3.56
Female,0.0,0.0,5.24,21.4,479.4,0.1685,1.0,3.61,3.49
Female,0.0,0.0,5.88,37.5,435.7,0.1915,0.552,2.33,3.5
Male,0.0,0.0,7.37,14.1,580.2,3.6416,0.379,3.46,3.5
Male,0.0,0.0,6.95,44.6,384.2,0.1473,1.0,2.93,3.57
Female,0.0,0.0,6.39,26.3,532.0,0.7065,0.862,3.0,3.6
Female,0.0,0.0,6.65,21.5,442.4,0.2269,0.931,3.39,3.6
Female,0.0,0.0,7.68,24.9,324.5,0.1709,0.931,3.57,2.6
Male,0.0,1.0,6.68,60.6,526.5,0.2969,0.724,2.76,3.23
Female,0.0,0.0,7.22,25.4,460.1,0.2532,0.793,1.21,2.32
Female,0.0,0.0,5.82,14.4,473.9,0.2457,0.586,3.39,3.8
Female,0.0,0.0,6.71,10.9,349.2,0.4063,0.828,3.47,3.0
Female,0.0,0.0,5.6,72.7,610.7,1.3834,0.724,3.27,3.03
Female,0.0,1.0,5.01,9.0,469.7,1.7201,0.552,3.28,1.7
Female,0.0,0.0,6.89,41.9,386.7,0.2513,1.0,2.96,3.28
Male,0.0,0.0,4.89,31.9,395.2,0.0931,1.0,4.0,3.77
Female,0.0,0.0,5.44,34.8,369.3,0.1346,0.897,3.25,3.4
Female,0.0,0.0,6.41,20.2,341.0,0.1047,1.0,3.17,3.05
Female,0.0,0.0,6.04,50.6,440.7,0.1026,0.966,3.0,3.41
Female,0.0,0.0,6.02,15.3,430.9,0.1009,0.966,3.52,3.26
Female,0.0,0.0,5.51,37.8,439.8,0.4339,1.0,3.56,2.98
Female,0.0,0.0,6.66,17.4,358.8,0.152,0.966,2.67,3.13
Female,0.0,0.0,6.68,11.4,420.7,0.1095,0.897,3.74,3.39
Male,1.0,1.0,7.31,48.0,552.3,0.0986,0.931,2.57,2.4
Male,0.0,1.0,6.64,7.6,379.6,0.1785,0.69,3.35,3.38
Female,0.0,0.0,6.3,38.2,460.7,0.1733,0.966,3.21,2.49
Male,0.0,0.0,6.25,33.9,461.5,0.2224,0.862,3.47,3.29
Female,1.0,0.0,6.3,21.7,497.0,0.2712,0.897,3.29,2.47
Female,0.0,1.0,7.44,23.1,383.2,0.1767,0.793,3.71,2.83
Male,0.0,0.0,7.03,40.9,424.8,0.196,0.966,2.9,3.36
Male,0.0,0.0,6.1,27.6,519.5,0.2241,1.0,4.0,4.0
Male,0.0,1.0,6.66,29.5,560.6,1.9322,0.586,1.94,1.79
Male,0.0,0.0,7.77,31.7,592.6,0.2355,0.966,2.84,3.12
Female,1.0,0.0,5.99,23.8,444.2,0.3553,0.828,3.4,3.69
Female,0.0,0.0,6.01,23.1,419.1,0.1372,0.793,3.79,4.0
Female,1.0,0.0,6.48,13.8,493.1,0.1711,0.759,3.21,2.6
Female,0.0,0.0,6.5,14.6,447.9,0.0894,1.0,3.33,3.74
Female,1.0,0.0,6.48,47.9,443.0,0.86,0.483,3.29,2.87
Female,0.0,0.0,5.86,5.1,408.1,0.1308,0.931,3.5,3.51
Male,0.0,0.0,7.57,52.7,423.8,1.477,0.966,3.79,3.5
Female,0.0,0.0,6.02,19.9,395.8,0.0847,0.655,3.74,3.48
Female,0.0,0.0,7.43,31.9,313.4,0.095,1.0,3.74,3.74
Female,0.0,0.0,7.18,18.6,351.1,0.107,0.276,3.44,3.61
Female,0.0,0.0,6.01,22.1,452.6,0.0608,1.0,3.62,3.81
Male,0.0,0.0,5.06,11.9,431.1,0.1568,0.276,3.22,1.38
Female,0.0,0.0,6.63,22.7,407.8,0.2347,0.897,4.0,4.0
